scene,round,frame,frame_wall_ms
junkshop,1,99,313.850584
junkshop,1,100,312.989666
junkshop,1,101,315.814250
junkshop,1,102,312.459125
junkshop,1,103,312.925417
junkshop,1,104,312.072500
junkshop,1,105,315.952333
junkshop,1,106,311.318834
junkshop,1,107,313.595333
junkshop,1,108,313.046625
junkshop,1,109,314.794667
junkshop,1,110,318.995834
junkshop,1,111,317.806208
junkshop,1,112,314.724000
junkshop,1,113,314.927750
junkshop,1,114,315.289000
junkshop,1,115,313.210958
junkshop,1,116,318.266833
junkshop,1,117,314.248791
junkshop,1,118,316.126666
junkshop,1,119,315.085792
junkshop,2,0,4151.679041
junkshop,2,1,317.667792
junkshop,2,2,315.001542
junkshop,2,3,314.552750
junkshop,2,4,315.691291
junkshop,2,5,316.393916
junkshop,2,6,317.932292
junkshop,2,7,315.190625
junkshop,2,8,315.232917
junkshop,2,9,316.440917
junkshop,2,10,315.264542
junkshop,2,11,318.956917
junkshop,2,12,316.789042
junkshop,2,13,319.684500
junkshop,2,14,315.598791
junkshop,2,15,316.049250
junkshop,2,16,319.468333
junkshop,2,17,316.927875
junkshop,2,18,314.058375
junkshop,2,19,316.357583
junkshop,2,20,314.580625
junkshop,2,21,315.334750
junkshop,2,22,315.688833
junkshop,2,23,317.706333
junkshop,2,24,313.635917
junkshop,2,25,318.809666
junkshop,2,26,314.308250
junkshop,2,27,316.033917
junkshop,2,28,315.691167
junkshop,2,29,316.974917
junkshop,2,30,314.644167
junkshop,2,31,316.116667
junkshop,2,32,315.600958
junkshop,2,33,316.513625
junkshop,2,34,316.590125
junkshop,2,35,317.509334
junkshop,2,36,315.295708
junkshop,2,37,317.926916
junkshop,2,38,315.866125
junkshop,2,39,317.402166
junkshop,2,40,316.716125
junkshop,2,41,316.245791
junkshop,2,42,316.935375
junkshop,2,43,314.896166
junkshop,2,44,317.861958
junkshop,2,45,315.797958
junkshop,2,46,317.608333
junkshop,2,47,318.123917
junkshop,2,48,317.357709
junkshop,2,49,317.129042
junkshop,2,50,315.251500
junkshop,2,51,316.836583
junkshop,2,52,314.891208
junkshop,2,53,320.262708
junkshop,2,54,320.009459
junkshop,2,55,318.087125
junkshop,2,56,316.510292
junkshop,2,57,316.637000
junkshop,2,58,316.102333
junkshop,2,59,318.996500
junkshop,2,60,315.887750
junkshop,2,61,317.921708
junkshop,2,62,315.612625
junkshop,2,63,316.330583
junkshop,2,64,317.006541
junkshop,2,65,317.763958
junkshop,2,66,315.737959
junkshop,2,67,317.573916
junkshop,2,68,317.272833
junkshop,2,69,316.253625
junkshop,2,70,316.156583
junkshop,2,71,315.893292
junkshop,2,72,317.707875
junkshop,2,73,315.728500
junkshop,2,74,317.550500
junkshop,2,75,315.148500
junkshop,2,76,316.592250
junkshop,2,77,315.450917
junkshop,2,78,315.298000
junkshop,2,79,317.227125
junkshop,2,80,314.260000
junkshop,2,81,315.726334
junkshop,2,82,317.944750
junkshop,2,83,316.808166
junkshop,2,84,318.249625
junkshop,2,85,315.122208
junkshop,2,86,315.132959
junkshop,2,87,315.641583
junkshop,2,88,315.922041
junkshop,2,89,317.830917
junkshop,2,90,315.600459
junkshop,2,91,319.845459
junkshop,2,92,317.659750
junkshop,2,93,319.094792
junkshop,2,94,316.216041
junkshop,2,95,316.677209
junkshop,2,96,315.818000
junkshop,2,97,318.693292
junkshop,2,98,316.662583
junkshop,2,99,317.495000
junkshop,2,100,315.466125
junkshop,2,101,317.298750
junkshop,2,102,318.605500
junkshop,2,103,316.244584
junkshop,2,104,315.781875
junkshop,2,105,315.682250
junkshop,2,106,315.389250
junkshop,2,107,316.673792
junkshop,2,108,317.225208
junkshop,2,109,315.902625
junkshop,2,110,317.743250
junkshop,2,111,318.086709
junkshop,2,112,316.104041
junkshop,2,113,315.715667
junkshop,2,114,316.891334
junkshop,2,115,318.025584
junkshop,2,116,315.779500
junkshop,2,117,316.695458
junkshop,2,118,316.016375
junkshop,2,119,317.941625
monster,1,0,4202.891875
monster,1,1,391.371666
monster,1,2,389.045375
monster,1,3,392.004750
monster,1,4,390.377417
monster,1,5,387.261125
monster,1,6,386.859500
monster,1,7,385.882083
monster,1,8,384.138084
monster,1,9,389.117833
monster,1,10,388.879250
monster,1,11,390.783208
monster,1,12,390.732083
monster,1,13,389.947792
monster,1,14,384.935709
monster,1,15,397.967000
monster,1,16,387.111291
monster,1,17,389.158459
monster,1,18,385.498750
monster,1,19,390.233416
monster,1,20,386.611583
monster,1,21,387.370625
monster,1,22,387.615416
monster,1,23,386.526334
monster,1,24,390.634500
monster,1,25,391.644458
monster,1,26,386.471208
monster,1,27,391.218375
monster,1,28,385.527916
monster,1,29,385.741500
monster,1,30,394.775541
monster,1,31,386.332791
monster,1,32,388.070792
monster,1,33,391.419542
monster,1,34,387.581542
monster,1,35,388.469583
monster,1,36,387.070583
monster,1,37,384.671000
monster,1,38,386.044000
monster,1,39,392.684875
monster,1,40,385.728375
monster,1,41,393.953875
monster,1,42,392.841375
monster,1,43,393.077333
monster,1,44,385.815833
monster,1,45,386.338750
monster,1,46,392.160917
monster,1,47,386.859833
monster,1,48,389.357583
monster,1,49,396.912167
monster,1,50,391.494000
monster,1,51,386.917666
monster,1,52,388.994375
monster,1,53,392.688375
monster,1,54,385.921958
monster,1,55,390.785333
monster,1,56,384.699667
monster,1,57,384.873167
monster,1,58,385.410708
monster,1,59,399.461000
monster,1,60,389.636875
monster,1,61,392.513125
monster,1,62,386.134667
monster,1,63,384.865792
monster,1,64,385.924042
monster,1,65,384.856583
monster,1,66,386.809250
monster,1,67,381.184292
monster,1,68,384.914542
monster,1,69,388.465791
monster,1,70,390.050291
monster,1,71,387.899666
monster,1,72,384.791666
monster,1,73,386.319667
monster,1,74,386.190458
monster,1,75,386.565917
monster,1,76,385.502417
monster,1,77,387.342958
monster,1,78,391.123000
monster,1,79,397.084292
monster,1,80,385.594875
monster,1,81,386.689791
monster,1,82,393.679292
monster,1,83,388.812083
monster,1,84,389.133708
monster,1,85,387.964875
monster,1,86,386.974791
monster,1,87,386.553459
monster,1,88,394.139417
monster,1,89,385.607917
monster,1,90,386.950834
monster,1,91,388.060500
monster,1,92,390.277625
monster,1,93,392.512875
monster,1,94,387.270625
monster,1,95,389.589625
monster,1,96,385.922084
monster,1,97,385.691666
monster,1,98,388.454250
monster,1,99,384.826417
monster,1,100,388.331542
monster,1,101,384.997958
monster,1,102,391.332833
monster,1,103,384.761708
monster,1,104,391.670583
monster,1,105,394.605916
monster,1,106,391.364541
monster,1,107,390.875541
monster,1,108,386.022375
